Rfd-Rdb-Fru.: [R, d r2 d']
Rdb-Rbu-Ubl.: [R, d l' d']
Drf-Rfd-Rdb.: [R, d r' d']
Rfd-Rdb-Ful.: [R, f l f']
Rfd-Brd-Ruf.: [R, f r f']
Rfd-Rdb-Ubl.: [R, f l2 f']
Ruf-Rfd-Urb.: [R, f r2 f']
Rfd-Rdb-Bdl.: [R, f l' f']
Rfd-Fru-Ruf.: [R, f r' f']
Ruf-Bdl-Rbu.: [R, b l b']
Fru-Rdb-Rbu.: [R, b r b']
Ruf-Dfl-Rbu.: [R, b l2 b']
Drf-Rdb-Rbu.: [R, b r2 b']
Rbu-Ruf-Ful.: [R, b l' b']
Brd-Rdb-Rbu.: [R, b r' b']
Dfl-Dlb-Ruf.: [D, l' u l]
Dlb-Dbr-Lbd.: [D, l' d l]
Dfl-Dlb-Bur.: [D, l' u2 l]
Dbr-Brd-Dlb.: [D, l' d2 l]
Dfl-Dlb-Lub.: [D, l' u' l]
Dbr-Rfd-Dlb.: [D, l' d' l]
Dbr-Drf-Lub.: [D, r' u r]
Rfd-Drf-Dfl.: [D, r' d r]
Dbr-Drf-Ful.: [D, r' u2 r]
Drf-Dfl-Fld.: [D, r' d2 r]
Dbr-Drf-Ruf.: [D, r' u' r]
Lbd-Drf-Dfl.: [D, r' d' r]
Drf-Dfl-Bur.: [D, f' u f]
Dfl-Dlb-Fld.: [D, f' d f]
Drf-Dfl-Lub.: [D, f' u2 f]
Dlb-Lbd-Dfl.: [D, f' d2 f]
Drf-Dfl-Ful.: [D, f' u' f]
Dlb-Brd-Dfl.: [D, f' d' f]
Dlb-Dbr-Ful.: [D, b' u b]
Dbr-Drf-Brd.: [D, b' d b]
Dlb-Dbr-Ruf.: [D, b' u2 b]
Drf-Rfd-Dbr.: [D, b' d2 b]
Dlb-Dbr-Bur.: [D, b' u' b]
Dbr-Drf-Fld.: [D, b' d' b]
Dlb-Dbr-Lfu.: [D, l u l']
Dlb-Rdb-Dfl.: [D, l d l']
Dlb-Dbr-Fru.: [D, l u2 l']
Dlb-Fdr-Dfl.: [D, l d2 l']
Dlb-Dbr-Rbu.: [D, l u' l']
Dlb-Ldf-Dfl.: [D, l d' l']
Drf-Dfl-Rbu.: [D, r u r']
Dbr-Drf-Ldf.: [D, r d r']
Drf-Dfl-Blu.: [D, r u2 r']
Dbr-Drf-Bdl.: [D, r d2 r']
Drf-Dfl-Lfu.: [D, r u' r']
Drf-Rdb-Dbr.: [D, r d' r']
Dfl-Dlb-Fru.: [D, f u f']
Bdl-Drf-Dfl.: [D, f d f']
Dfl-Dlb-Rbu.: [D, f u2 f']
Rdb-Drf-Dfl.: [D, f d2 f']
Dfl-Dlb-Blu.: [D, f u' f']
Fdr-Drf-Dfl.: [D, f d' f']
Dbr-Drf-Blu.: [D, b u b']
Dbr-Fdr-Dlb.: [D, b d b']
Dbr-Drf-Lfu.: [D, b u2 b']
Dlb-Dbr-Ldf.: [D, b d2 b']
Dbr-Drf-Fru.: [D, b u' b']
Dbr-Bdl-Dlb.: [D, b d' b']
Fdr-Ldf-Fld.: [F, l' f l]
Fld-Rbu-Ful.: [F, l' b l]
Fdr-Drf-Fld.: [F, l' f2 l]
Fld-Dbr-Ful.: [F, l' b2 l]
Fld-Fdr-Ruf.: [F, l' f' l]
Fld-Lbd-Ful.: [F, l' b' l]
Fld-Ulf-Ful.: [F, u' f u]
Dbr-Fru-Ful.: [F, u' b u]
Fld-Ldf-Ful.: [F, u' f2 u]
Lbd-Fru-Ful.: [F, u' b2 u]
Fld-Drf-Ful.: [F, u' f' u]
Ubl-Fru-Ful.: [F, u' b' u]
Ruf-Fru-Ful.: [F, r' f r]
Lbd-Fdr-Fru.: [F, r' b r]
Ulf-Fru-Ful.: [F, r' f2 r]
Fdr-Fru-Ubl.: [F, r' b2 r]
Ldf-Fru-Ful.: [F, r' f' r]
Fdr-Fru-Rbu.: [F, r' b' r]
Drf-Fdr-Fru.: [F, d' f d]
Fld-Fdr-Ubl.: [F, d' b d]
Fdr-Fru-Ruf.: [F, d' f2 d]
Fld-Fdr-Rbu.: [F, d' b2 d]
Fdr-Fru-Ulf.: [F, d' f' d]
Fdr-Dbr-Fld.: [F, d' b' d]
Fld-Rfd-Ful.: [F, l f l']
Fld-Fdr-Lub.: [F, l b l']
Fld-Ufr-Ful.: [F, l f2 l']
Fld-Fdr-Urb.: [F, l b2 l']
Fld-Lfu-Ful.: [F, l f' l']
Fdr-Rdb-Fld.: [F, l b' l']
Dfl-Fru-Ful.: [F, u f u']
Fld-Urb-Ful.: [F, u b u']
Rfd-Fru-Ful.: [F, u f2 u']
Fld-Rdb-Ful.: [F, u b2 u']
Ufr-Fru-Ful.: [F, u f' u']
Fld-Dlb-Ful.: [F, u b' u']
Fdr-Fru-Lfu.: [F, r f r']
Rdb-Fru-Ful.: [F, r b r']
Dfl-Fdr-Fru.: [F, r f2 r']
Dlb-Fru-Ful.: [F, r b2 r']
Rfd-Fdr-Fru.: [F, r f' r']
Lub-Fru-Ful.: [F, r b' r']
Fld-Fdr-Ufr.: [F, d f d']
Dlb-Fdr-Fru.: [F, d b d']
Fld-Fdr-Lfu.: [F, d f2 d']
Fdr-Fru-Lub.: [F, d b2 d']
Fdr-Dfl-Fld.: [F, d f' d']
Fdr-Fru-Urb.: [F, d b' d']
Rfd-Bdl-Blu.: [B, l' f l]
Blu-Bur-Lub.: [B, l' b l]
Ufr-Bdl-Blu.: [B, l' f2 l]
Bur-Urb-Blu.: [B, l' b2 l]
Bdl-Blu-Lfu.: [B, l' f' l]
Bur-Rdb-Blu.: [B, l' b' l]
Bur-Dfl-Blu.: [B, u' f u]
Brd-Urb-Bur.: [B, u' b u]
Bur-Rfd-Blu.: [B, u' f2 u]
Brd-Rdb-Bur.: [B, u' b2 u]
Bur-Ufr-Blu.: [B, u' f' u]
Brd-Dlb-Bur.: [B, u' b' u]
Bur-Brd-Lfu.: [B, r' f r]
Rdb-Brd-Bdl.: [B, r' b r]
Brd-Dfl-Bur.: [B, r' f2 r]
Brd-Bdl-Dlb.: [B, r' b2 r]
Brd-Rfd-Bur.: [B, r' f' r]
Brd-Bdl-Lub.: [B, r' b' r]
Brd-Bdl-Ufr.: [B, d' f d]
Dlb-Bdl-Blu.: [B, d' b d]
Brd-Bdl-Lfu.: [B, d' f2 d]
Bdl-Blu-Lub.: [B, d' b2 d]
Brd-Bdl-Dfl.: [B, d' f' d]
Urb-Bdl-Blu.: [B, d' b' d]
Bur-Ldf-Blu.: [B, l f l']
Rbu-Bdl-Blu.: [B, l b l']
Bur-Drf-Blu.: [B, l f2 l']
Dbr-Bdl-Blu.: [B, l b2 l']
Bur-Ruf-Blu.: [B, l f' l']
Lbd-Bdl-Blu.: [B, l b' l']
Bur-Brd-Ulf.: [B, u f u']
Bur-Dbr-Blu.: [B, u b u']
Brd-Ldf-Bur.: [B, u f2 u']
Bur-Lbd-Blu.: [B, u b2 u']
Brd-Drf-Bur.: [B, u f' u']
Bur-Ubl-Blu.: [B, u b' u']
Brd-Bdl-Ruf.: [B, r f r']
Brd-Lbd-Bur.: [B, r b r']
Brd-Bdl-Ulf.: [B, r f2 r']
Bur-Brd-Ubl.: [B, r b2 r']
Brd-Bdl-Ldf.: [B, r f' r']
