LUB-UFR-DLB.: [B, D F2 D']
FUL-LBD-UBL.: [B, D F' D']
FUL-BDL-RFD.: [L2, U' R U]
FUL-BDL-RDB.: [L2, U' R2 U]
FUL-BDL-FRU.: [L2, U' R' U]
FUL-RBU-BDL.: [L2, D' R D]
FUL-RUF-BDL.: [L2, D' R2 D]
FUL-BRD-BDL.: [L2, D' R' D]
LUB-BRD-LDF.: [L2, F' R F]
LUB-URB-LDF.: [L2, F' R2 F]
LUB-FDR-LDF.: [L2, F' R' F]
LUB-LDF-FRU.: [L2, B' R B]
LUB-LDF-DRF.: [L2, B' R2 B]
LUB-LDF-BUR.: [L2, B' R' B]
LUB-LDF-URB.: [L2, U R U']
LUB-LDF-FDR.: [L2, U R2 U']
LUB-LDF-DBR.: [L2, U R' U']
LUB-DRF-LDF.: [L2, D R D']
LUB-BUR-LDF.: [L2, D R2 D']
LUB-UFR-LDF.: [L2, D R' D']
FUL-BDL-RUF.: [L2, F R F']
FUL-BDL-BRD.: [L2, F R2 F']
FUL-BDL-URB.: [L2, F R' F']
FUL-RDB-BDL.: [L2, B R B']
FUL-FRU-BDL.: [L2, B R2 B']
FUL-DRF-BDL.: [L2, B R' B']
LUB-RUF-BRD.: [U2, L' D L]
LUB-RUF-RFD.: [U2, L' D2 L]
LUB-RUF-DLB.: [U2, L' D' L]
LUB-FLD-RUF.: [U2, R' D R]
LUB-LBD-RUF.: [U2, R' D2 R]
LUB-DRF-RUF.: [U2, R' D' R]
FUL-BUR-LBD.: [U2, F' D F]
FUL-BUR-BRD.: [U2, F' D2 F]
FUL-BUR-DFL.: [U2, F' D' F]
FUL-RFD-BUR.: [U2, B' D B]
FUL-FLD-BUR.: [U2, B' D2 B]
FUL-DBR-BUR.: [U2, B' D' B]
FUL-BUR-FLD.: [U2, L D L']
FUL-BUR-DBR.: [U2, L D2 L']
FUL-BUR-DRF.: [U2, L D' L']
FUL-BRD-BUR.: [U2, R D R']
FUL-DFL-BUR.: [U2, R D2 R']
FUL-DLB-BUR.: [U2, R D' R']
LUB-RFD-RUF.: [U2, F D F']
LUB-DLB-RUF.: [U2, F D2 F']
LUB-DBR-RUF.: [U2, F D' F']
LUB-RUF-LBD.: [U2, B D B']
LUB-RUF-DRF.: [U2, B D2 B']
LUB-RUF-DFL.: [U2, B D' B']
BUR-FDR-LBD.: [R2, U' L U]
BUR-FDR-LDF.: [R2, U' L2 U]
LUB-URB-DRF.: [R2, U' L' U]
FUL-DRF-URB.: [R2, D' L D]
LUB-FDR-BUR.: [R2, D' L2 D]
BUR-FLD-FDR.: [R2, D' L' D]
LUB-UFR-DBR.: [R2, F' L F]
RUF-RDB-DLB.: [R2, F' L2 F]
FUL-RUF-RDB.: [R2, F' L' F]
RUF-FLD-RDB.: [R2, B' L B]
FUL-BRD-FRU.: [R2, B' L2 B]
RUF-BDL-RDB.: [R2, B' L' B]
FUL-FRU-BRD.: [R2, U L U']
