Rf-Fr-Ru.: [R, S r' S']
Db-Lb-Dl.: [D, l' E l]
Db-Br-Dl.: [D, l' E2 l]
Db-Rf-Dl.: [D, l' E' l]
Rf-Dr-Df.: [D, r' E r]
Fl-Dr-Df.: [D, r' E2 r]
Lb-Dr-Df.: [D, r' E' r]
Dl-Fl-Df.: [D, f' E f]
Dl-Lb-Df.: [D, f' E2 f]
Dl-Br-Df.: [D, f' E' f]
Br-Db-Dr.: [D, b' E b]
Rf-Db-Dr.: [D, b' E2 b]
Fl-Db-Dr.: [D, b' E' b]
Df-Dl-Ru.: [D, M' u M]
Db-Dr-Ld.: [D, M' d M]
Df-Dl-Uf.: [D, M' u2 M]
Db-Dr-Ub.: [D, M' d2 M]
Df-Dl-Lu.: [D, M' u' M]
Rd-Db-Dr.: [D, M' d' M]
Dr-Df-Bu.: [D, S' u S]
Dl-Db-Fd.: [D, S' d S]
Dr-Df-Ur.: [D, S' u2 S]
Dl-Db-Ul.: [D, S' d2 S]
Dr-Df-Fu.: [D, S' u' S]
Db-Bd-Dl.: [D, S' d' S]
Db-Rb-Dl.: [D, l E l']
Db-Fr-Dl.: [D, l E2 l']
Db-Lf-Dl.: [D, l E' l']
Lf-Dr-Df.: [D, r E r']
Bl-Dr-Df.: [D, r E2 r']
Rb-Dr-Df.: [D, r E' r']
Dl-Bl-Df.: [D, f E f']
Dl-Rb-Df.: [D, f E2 f']
Dl-Fr-Df.: [D, f E' f']
Fr-Db-Dr.: [D, b E b']
Lf-Db-Dr.: [D, b E2 b']
Bl-Db-Dr.: [D, b E' b']
Db-Dr-Lu.: [D, M u M']
Dl-Rd-Df.: [D, M d M']
Db-Dr-Ub.: [D, M u2 M']
Df-Dl-Uf.: [D, M d2 M']
Db-Dr-Ru.: [D, M u' M']
Dl-Ld-Df.: [D, M d' M']
Dl-Db-Fu.: [D, S u S']
Bd-Dr-Df.: [D, S d S']
Dl-Db-Ul.: [D, S u2 S']
Dr-Df-Ur.: [D, S d2 S']
Dl-Db-Bu.: [D, S u' S']
Fd-Dr-Df.: [D, S d' S']
Ld-Fl-Fd.: [F, l' S l]
Dr-Fl-Fd.: [F, l' S2 l]
Fl-Fd-Ru.: [F, l' S' l]
Fl-Ul-Fu.: [F, u' S u]
Fl-Ld-Fu.: [F, u' S2 u]
Fl-Dr-Fu.: [F, u' S' u]
Ru-Fr-Fu.: [F, r' S r]
Ul-Fr-Fu.: [F, r' S2 r]
Ld-Fr-Fu.: [F, r' S' r]
Fr-Dr-Fd.: [F, d' S d]
Fd-Fr-Ru.: [F, d' S2 d]
Fd-Fr-Ul.: [F, d' S' d]
Fr-Lf-Fd.: [F, M' f M]
Fl-Rb-Fu.: [F, M' b M]
Fr-Bd-Fd.: [F, M' f2 M]
Fl-Bu-Fu.: [F, M' b2 M]
Fr-Rf-Fd.: [F, M' f' M]
Fl-Lb-Fu.: [F, M' b' M]
Df-Fr-Fu.: [F, E' f E]
Fl-Fd-Ub.: [F, E' b E]
Br-Fr-Fu.: [F, E' f2 E]
Bl-Fl-Fd.: [F, E' b2 E]
Fr-Fu-Uf.: [F, E' f' E]
Db-Fl-Fd.: [F, E' b' E]
Rd-Fl-Fd.: [F, l S l']
Fl-Fd-Ur.: [F, l S2 l']
Fl-Fd-Lu.: [F, l S' l']
Fl-Dl-Fu.: [F, u S u']
Fl-Rd-Fu.: [F, u S2 u']
Fl-Ur-Fu.: [F, u S' u']
Lu-Fr-Fu.: [F, r S r']
Dl-Fr-Fu.: [F, r S2 r']
Rd-Fr-Fu.: [F, r S' r']
Fd-Fr-Ur.: [F, d S d']
Fd-Fr-Lu.: [F, d S2 d']
Fr-Dl-Fd.: [F, d S' d']
Fl-Rf-Fu.: [F, M f M']
Fr-Lb-Fd.: [F, M b M']
Fl-Bu-Fu.: [F, M f2 M']
Fr-Bd-Fd.: [F, M b2 M']
Fl-Lf-Fu.: [F, M f' M']
Fr-Rb-Fd.: [F, M b' M']
Fl-Fd-Uf.: [F, E f E']
Db-Fr-Fu.: [F, E b E']
Bl-Fl-Fd.: [F, E f2 E']
Br-Fr-Fu.: [F, E b2 E']
Fl-Fd-Df.: [F, E f' E']
Ub-Fr-Fu.: [F, E b' E']
Rd-Bl-Bu.: [B, l' S l]
Bl-Bu-Ur.: [B, l' S2 l]
Bl-Bu-Lu.: [B, l' S' l]
Br-Dl-Bu.: [B, u' S u]
Br-Rd-Bu.: [B, u' S2 u]
Bu-Br-Ur.: [B, u' S' u]
Br-Bd-Lu.: [B, r' S r]
Br-Bd-Dl.: [B, r' S2 r]
Br-Bd-Rd.: [B, r' S' r]
Bd-Bl-Ur.: [B, d' S d]
Bd-Bl-Lu.: [B, d' S2 d]
Bd-Bl-Dl.: [B, d' S' d]
Bl-Rf-Bd.: [B, M' f M]
Br-Lb-Bu.: [B, M' b M]
Bd-Bl-Fd.: [B, M' f2 M]
Bu-Br-Fu.: [B, M' b2 M]
Bl-Lf-Bd.: [B, M' f' M]
Br-Rb-Bu.: [B, M' b' M]
Br-Bd-Uf.: [B, E' f E]
Db-Bl-Bu.: [B, E' b E]
Fr-Br-Bd.: [B, E' f2 E]
Fl-Bl-Bu.: [B, E' b2 E]
Br-Bd-Df.: [B, E' f' E]
Bl-Bu-Ub.: [B, E' b' E]
Ld-Bl-Bu.: [B, l S l']
Dr-Bl-Bu.: [B, l S2 l']
Bl-Bu-Ru.: [B, l S' l']
Bu-Br-Ul.: [B, u S u']
Br-Ld-Bu.: [B, u S2 u']
Br-Dr-Bu.: [B, u S' u']
Br-Bd-Ru.: [B, r S r']
Br-Bd-Ul.: [B, r S2 r']
Br-Bd-Ld.: [B, r S' r']
Bd-Bl-Dr.: [B, d S d']
Bd-Bl-Ru.: [B, d S2 d']
Bd-Bl-Ul.: [B, d S' d']
Br-Lf-Bu.: [B, M f M']
Bl-Rb-Bd.: [B, M b M']
Bu-Br-Fu.: [B, M f2 M']
Bd-Bl-Fd.: [B, M b2 M']
Br-Rf-Bu.: [B, M f' M']
Bl-Lb-Bd.: [B, M b' M']
Df-Bl-Bu.: [B, E f E']
Br-Bd-Ub.: [B, E b E']
Fl-Bl-Bu.: [B, E f2 E']
Fr-Br-Bd.: [B, E b2 E']
Bl-Bu-Uf.: [B, E f' E']
Br-Bd-Db.: [B, E b' E']
Bl-Bu-Ul.: [l, U' M U]
Fl-Rd-Dl.: [l, U' S U]
Bl-Db-Ul.: [l, U' M2 U]
Dl-Fl-Uf.: [l, U' S2 U]
Bl-Fd-Ul.: [l, U' M' U]
Dl-Fl-Lu.: [l, U' S' U]
Dl-Fl-Fd.: [l, D' M D]
Bl-Ld-Ul.: [l, D' S D]
Dl-Fl-Uf.: [l, D' M2 D]
Bl-Db-Ul.: [l, D' S2 D]
Dl-Fl-Bu.: [l, D' M' D]
Bl-Ru-Ul.: [l, D' S' D]
Fl-Ul-Uf.: [l, F' M F]
Rb-Bl-Dl.: [l, F' E F]
Bu-Fl-Ul.: [l, F' M2 F]
Bl-Dl-Fd.: [l, F' E2 F]
Db-Fl-Ul.: [l, F' M' F]
Lf-Bl-Dl.: [l, F' E' F]
Db-Bl-Dl.: [l, B' M B]
Lb-Fl-Ul.: [l, B' E B]
Bl-Dl-Fd.: [l, B' M2 B]
Bu-Fl-Ul.: [l, B' E2 B]
Bl-Dl-Uf.: [l, B' M' B]
Rf-Fl-Ul.: [l, B' E' B]
Ld-Fl-Ul.: [l, E' L E]
Bl-Dl-Ru.: [l, E' R E]
Fr-Fl-Ul.: [l, E' L2 E]
Br-Bl-Dl.: [l, E' R2 E]
Lu-Fl-Ul.: [l, E' L' E]
Rd-Bl-Dl.: [l, E' R' E]
Bl-Lf-Ul.: [l, S' L S]
Fl-Rb-Dl.: [l, S' R S]
Bl-Ur-Ul.: [l, S' L2 S]
Fl-Dr-Dl.: [l, S' R2 S]
Bl-Lb-Ul.: [l, S' L' S]
Fl-Rf-Dl.: [l, S' R' S]
Bl-Bd-Ul.: [l, U M U']
Fl-Rd-Dl.: [l, U S U']
Bl-Df-Ul.: [l, U M2 U']
Dl-Fl-Ub.: [l, U S2 U']
Ul-Bl-Fu.: [l, U M' U']
Dl-Fl-Lu.: [l, U S' U']
Dl-Fl-Fu.: [l, D M D']
Bl-Ld-Ul.: [l, D S D']
Dl-Fl-Ub.: [l, D M2 D']
Bl-Df-Ul.: [l, D S2 D']
Fl-Bd-Dl.: [l, D M' D']
Bl-Ru-Ul.: [l, D S' D']
Ub-Fl-Ul.: [l, F M F']
Rb-Bl-Dl.: [l, F E F']
Bd-Fl-Ul.: [l, F M2 F']
Bl-Dl-Fu.: [l, F E2 F']
Df-Fl-Ul.: [l, F M' F']
Lf-Bl-Dl.: [l, F E' F']
Bl-Dl-Df.: [l, B M B']
Lb-Fl-Ul.: [l, B E B']
Bl-Dl-Fu.: [l, B M2 B']
Bd-Fl-Ul.: [l, B E2 B']
Bl-Dl-Ub.: [l, B M' B']
Rf-Fl-Ul.: [l, B E' B']
Bl-Dl-Lu.: [l, E L E']
Rd-Fl-Ul.: [l, E R E']
Br-Bl-Dl.: [l, E L2 E']
Fr-Fl-Ul.: [l, E R2 E']
Ld-Bl-Dl.: [l, E L' E']
Ru-Fl-Ul.: [l, E R' E']
Fl-Lb-Dl.: [l, S L S']
Bl-Rf-Ul.: [l, S R S']
Fl-Dr-Dl.: [l, S L2 S']
Bl-Ur-Ul.: [l, S R2 S']
Fl-Lf-Dl.: [l, S L' S']
Bl-Rb-Ul.: [l, S R' S']
Br-Lu-Fu.: [u, L' E L]
Ru-Bu-Ul.: [u, L' S L]
Rf-Lu-Fu.: [u, L' E2 L]
Bu-Lb-Ru.: [u, L' S2 L]
Fl-Lu-Fu.: [u, L' E' L]
Bu-Dr-Ru.: [u, L' S' L]
Bu-Fl-Ru.: [u, R' E R]
Dl-Lu-Fu.: [u, R' S R]
Bu-Lb-Ru.: [u, R' E2 R]
Rf-Lu-Fu.: [u, R' S2 R]
Bu-Br-Ru.: [u, R' E' R]
Ur-Lu-Fu.: [u, R' S' R]
Db-Bu-Lu.: [u, F' M F]
Ru-Lb-Fu.: [u, F' E F]
Fl-Bu-Lu.: [u, F' M2 F]
Ru-Br-Fu.: [u, F' E2 F]
Bu-Lu-Uf.: [u, F' M' F]
Ru-Rf-Fu.: [u, F' E' F]
Ru-Ub-Fu.: [u, B' M B]
Rf-Bu-Lu.: [u, B' E B]
Ru-Br-Fu.: [u, B' M2 B]
Fl-Bu-Lu.: [u, B' E2 B]
Ru-Df-Fu.: [u, B' M' B]
Lb-Bu-Lu.: [u, B' E' B]
Ru-Ul-Fu.: [u, M' U M]
Dr-Bu-Lu.: [u, M' D M]
Ru-Fd-Fu.: [u, M' U2 M]
Bd-Bu-Lu.: [u, M' D2 M]
Ru-Ur-Fu.: [u, M' U' M]
Dl-Bu-Lu.: [u, M' D' M]
Ru-Bu-Uf.: [u, S' U S]
Db-Lu-Fu.: [u, S' D S]
Bu-Rd-Ru.: [u, S' U2 S]
Ld-Lu-Fu.: [u, S' D2 S]
Bu-Ub-Ru.: [u, S' U' S]
Df-Lu-Fu.: [u, S' D' S]
Bl-Lu-Fu.: [u, L E L']
Ru-Bu-Ul.: [u, L S L']
Rb-Lu-Fu.: [u, L E2 L']
Bu-Lf-Ru.: [u, L S2 L']
Fr-Lu-Fu.: [u, L E' L']
Bu-Dr-Ru.: [u, L S' L']
Bu-Fr-Ru.: [u, R E R']
Dl-Lu-Fu.: [u, R S R']
Bu-Lf-Ru.: [u, R E2 R']
Rb-Lu-Fu.: [u, R S2 R']
Bu-Bl-Ru.: [u, R E' R']
Ur-Lu-Fu.: [u, R S' R']
Db-Bu-Lu.: [u, F M F']
Ru-Lf-Fu.: [u, F E F']
Fr-Bu-Lu.: [u, F M2 F']
Ru-Bl-Fu.: [u, F E2 F']
Bu-Lu-Uf.: [u, F M' F']
Ru-Rb-Fu.: [u, F E' F']
Ru-Ub-Fu.: [u, B M B']
Rb-Bu-Lu.: [u, B E B']
Ru-Bl-Fu.: [u, B M2 B']
Fr-Bu-Lu.: [u, B E2 B']
Ru-Df-Fu.: [u, B M' B']
Lf-Bu-Lu.: [u, B E' B']
Ur-Bu-Lu.: [u, M U M']
Ru-Dl-Fu.: [u, M D M']
Bd-Bu-Lu.: [u, M U2 M']
Ru-Fd-Fu.: [u, M D2 M']
Bu-Lu-Ul.: [u, M U' M']
Ru-Dr-Fu.: [u, M D' M']
Ub-Lu-Fu.: [u, S U S']
Bu-Df-Ru.: [u, S D S']
Ld-Lu-Fu.: [u, S U2 S']
Bu-Rd-Ru.: [u, S D2 S']
Lu-Fu-Uf.: [u, S U' S']
Bu-Db-Ru.: [u, S D' S']
Fr-Bd-Ur.: [r, U' M U]
Dr-Br-Ru.: [r, U' S U]
Fr-Df-Ur.: [r, U' M2 U]
Dr-Br-Ub.: [r, U' S2 U]
Ur-Fr-Fu.: [r, U' M' U]
Dr-Br-Ld.: [r, U' S' U]
Dr-Br-Fu.: [r, D' M D]
Ur-Fr-Lu.: [r, D' S D]
Dr-Br-Ub.: [r, D' M2 D]
Fr-Df-Ur.: [r, D' S2 D]
Br-Bd-Dr.: [r, D' M' D]
Fr-Rd-Ur.: [r, D' S' D]
Fr-Dr-Ub.: [r, F' M F]
Rf-Br-Ur.: [r, F' E F]
Bd-Fr-Dr.: [r, F' M2 F]
Br-Ur-Fu.: [r, F' E2 F]
Fr-Dr-Df.: [r, F' M' F]
Lb-Br-Ur.: [r, F' E' F]
Df-Br-Ur.: [r, B' M B]
Lf-Fr-Dr.: [r, B' E B]
Br-Ur-Fu.: [r, B' M2 B]
Bd-Fr-Dr.: [r, B' E2 B]
Ub-Br-Ur.: [r, B' M' B]
Rb-Fr-Dr.: [r, B' E' B]
Fr-Dr-Lu.: [r, E' L E]
Rd-Br-Ur.: [r, E' R E]
Fl-Fr-Dr.: [r, E' L2 E]
Bl-Br-Ur.: [r, E' R2 E]
Fr-Dr-Ld.: [r, E' L' E]
Ru-Br-Ur.: [r, E' R' E]
Fr-Lb-Ur.: [r, S' L S]
Br-Rf-Dr.: [r, S' R S]
Ur-Fr-Ul.: [r, S' L2 S]
Dr-Br-Dl.: [r, S' R2 S]
Fr-Lf-Ur.: [r, S' L' S]
Br-Rb-Dr.: [r, S' R' S]
Fr-Bu-Ur.: [r, U M U']
Dr-Br-Ru.: [r, U S U']
Fr-Db-Ur.: [r, U M2 U']
Dr-Br-Uf.: [r, U S2 U']
Fr-Fd-Ur.: [r, U M' U']
Dr-Br-Ld.: [r, U S' U']
Dr-Br-Fd.: [r, D M D']
Ur-Fr-Lu.: [r, D S D']
Dr-Br-Uf.: [r, D M2 D']
Fr-Db-Ur.: [r, D S2 D']
Dr-Br-Bu.: [r, D M' D']
Fr-Rd-Ur.: [r, D S' D']
Fr-Dr-Uf.: [r, F M F']
Rf-Br-Ur.: [r, F E F']
Fr-Dr-Bu.: [r, F M2 F']
Fd-Br-Ur.: [r, F E2 F']
Db-Fr-Dr.: [r, F M' F']
Lb-Br-Ur.: [r, F E' F']
Db-Br-Ur.: [r, B M B']
Lf-Fr-Dr.: [r, B E B']
Fd-Br-Ur.: [r, B M2 B']
Fr-Dr-Bu.: [r, B E2 B']
Br-Ur-Uf.: [r, B M' B']
Rb-Fr-Dr.: [r, B E' B']
Ld-Br-Ur.: [r, E L E']
Fr-Dr-Ru.: [r, E R E']
Bl-Br-Ur.: [r, E L2 E']
Fl-Fr-Dr.: [r, E R2 E']
Br-Ur-Lu.: [r, E L' E']
Rd-Fr-Dr.: [r, E R' E']
Br-Lf-Dr.: [r, S L S']
Fr-Rb-Ur.: [r, S R S']
Dr-Br-Dl.: [r, S L2 S']
Ur-Fr-Ul.: [r, S R2 S']
Br-Lb-Dr.: [r, S L' S']
Fr-Rf-Ur.: [r, S R' S']
Bd-Bl-Ld.: [d, L' E L]
Rd-Fd-Ur.: [d, L' S L]
Bd-Rb-Ld.: [d, L' E2 L]
Lf-Rd-Fd.: [d, L' S2 L]
Bd-Fr-Ld.: [d, L' E' L]
Dl-Rd-Fd.: [d, L' S' L]
Fr-Rd-Fd.: [d, R' E R]
Bd-Dr-Ld.: [d, R' S R]
Lf-Rd-Fd.: [d, R' E2 R]
Bd-Rb-Ld.: [d, R' S2 R]
Bl-Rd-Fd.: [d, R' E' R]
Ld-Bd-Ul.: [d, R' S' R]
Bd-Rd-Df.: [d, F' M F]
Ld-Lf-Fd.: [d, F' E F]
Fr-Bd-Rd.: [d, F' M2 F]
Ld-Bl-Fd.: [d, F' E2 F]
Bd-Rd-Ub.: [d, F' M' F]
Ld-Rb-Fd.: [d, F' E' F]
Fd-Ld-Uf.: [d, B' M B]
Rb-Bd-Rd.: [d, B' E B]
Ld-Bl-Fd.: [d, B' M2 B]
Fr-Bd-Rd.: [d, B' E2 B]
Ld-Db-Fd.: [d, B' M' B]
Lf-Bd-Rd.: [d, B' E' B]
Fd-Ld-Ur.: [d, M' U M]
Bd-Rd-Dl.: [d, M' D M]
Fd-Ld-Fu.: [d, M' U2 M]
Bd-Rd-Bu.: [d, M' D2 M]
Fd-Ld-Ul.: [d, M' U' M]
Bd-Rd-Dr.: [d, M' D' M]
Rd-Fd-Ub.: [d, S' U S]
Ld-Bd-Df.: [d, S' D S]
Rd-Fd-Ru.: [d, S' U2 S]
Ld-Bd-Lu.: [d, S' D2 S]
Rd-Fd-Uf.: [d, S' U' S]
Bd-Db-Ld.: [d, S' D' S]
Bd-Br-Ld.: [d, L E L']
Rd-Fd-Ur.: [d, L S L']
Bd-Rf-Ld.: [d, L E2 L']
Lb-Rd-Fd.: [d, L S2 L']
Bd-Fl-Ld.: [d, L E' L']
Dl-Rd-Fd.: [d, L S' L']
Fl-Rd-Fd.: [d, R E R']
Bd-Dr-Ld.: [d, R S R']
Lb-Rd-Fd.: [d, R E2 R']
Bd-Rf-Ld.: [d, R S2 R']
Br-Rd-Fd.: [d, R E' R']
Ld-Bd-Ul.: [d, R S' R']
Bd-Rd-Df.: [d, F M F']
Ld-Lb-Fd.: [d, F E F']
Fl-Bd-Rd.: [d, F M2 F']
Ld-Br-Fd.: [d, F E2 F']
Bd-Rd-Ub.: [d, F M' F']
Ld-Rf-Fd.: [d, F E' F']
Fd-Ld-Uf.: [d, B M B']
Rf-Bd-Rd.: [d, B E B']
Ld-Br-Fd.: [d, B M2 B']
Fl-Bd-Rd.: [d, B E2 B']
Ld-Db-Fd.: [d, B M' B']
Lb-Bd-Rd.: [d, B E' B']
Bd-Rd-Ul.: [d, M U M']
Ld-Dr-Fd.: [d, M D M']
Bd-Rd-Bu.: [d, M U2 M']
Fd-Ld-Fu.: [d, M D2 M']
Bd-Rd-Ur.: [d, M U' M']
Ld-Dl-Fd.: [d, M D' M']
Ld-Bd-Uf.: [d, S U S']
Db-Rd-Fd.: [d, S D S']
Ld-Bd-Lu.: [d, S U2 S']
Rd-Fd-Ru.: [d, S D2 S']
Ld-Bd-Ub.: [d, S U' S']
Rd-Fd-Df.: [d, S D' S']
Fl-Rf-Uf.: [f, L' E L]
Dl-Lf-Df.: [f, L' S L]
Lu-Rf-Uf.: [f, L' E2 L]
Rd-Lf-Df.: [f, L' S2 L]
Br-Rf-Uf.: [f, L' E' L]
Lf-Df-Ur.: [f, L' S' L]
Df-Rf-Fu.: [f, U' M U]
Lf-Lu-Uf.: [f, U' S U]
Df-Rf-Ur.: [f, U' M2 U]
Lf-Dl-Uf.: [f, U' S2 U]
Rf-Bd-Df.: [f, U' M' U]
Lf-Rd-Uf.: [f, U' S' U]
Bl-Lf-Df.: [f, R' E R]
Ur-Rf-Uf.: [f, R' S R]
Rd-Lf-Df.: [f, R' E2 R]
Lu-Rf-Uf.: [f, R' S2 R]
Fr-Lf-Df.: [f, R' E' R]
Dl-Rf-Uf.: [f, R' S' R]
Lf-Bu-Uf.: [f, D' M D]
Rf-Rd-Df.: [f, D' S D]
Lf-Dl-Uf.: [f, D' M2 D]
Df-Rf-Ur.: [f, D' S2 D]
Lf-Fd-Uf.: [f, D' M' D]
Df-Rf-Lu.: [f, D' S' D]
Rf-Fl-Df.: [f, M' F M]
Lf-Br-Uf.: [f, M' B M]
Rf-Db-Df.: [f, M' F2 M]
Lf-Ub-Uf.: [f, M' B2 M]
Rf-Fr-Df.: [f, M' F' M]
Lf-Bl-Uf.: [f, M' B' M]
Fd-Rf-Uf.: [f, E' F E]
Lf-Df-Bu.: [f, E' B E]
