DBl-FDl-RFu-DLf-BUl.: [l, B L R2 B']
DBl-FDl-RFu-FLu-BUl.: [l, B L2 R2 B']
BUl-DBl-FDl-RFu-ULb.: [l, B L' R2 B']
BLd-DFr-DBl-FDl-UFl.: [l, D2 B D2 B']
DBl-FDl-RDf-DLf-BUl.: [l, B L R' B']
DBl-FDl-RDf-FLu-BUl.: [l, B L2 R' B']
BUl-DBl-FDl-RDf-ULb.: [l, B L' R' B']
BDr-LBu-FLu-RFu-UFl.: [u, L' U D L]
BDr-LBu-FLu-RFu-URf.: [u, L' U2 D L]
BDr-LBu-FLu-RFu-UBr.: [u, L' U' D L]
RDf-LBu-FLu-RFu-UFl.: [u, L' U D2 L]
RDf-LBu-FLu-RFu-URf.: [u, L' U2 D2 L]
RDf-LBu-FLu-RFu-UBr.: [u, L' U' D2 L]
FRd-FLu-RFu-BRu-LDb.: [u, F2 L' F2 L]
BRu-LBu-FLu-RBd-ULb.: [u, B2 L' B2 L]
FDl-LBu-FLu-RFu-UFl.: [u, L' U D' L]
FDl-LBu-FLu-RFu-URf.: [u, L' U2 D' L]
FDl-LBu-FLu-RFu-UBr.: [u, L' U' D' L]
FDl-RFu-BRu-LBu-UBr.: [u, R' U D R]
FDl-RFu-BRu-LBu-ULb.: [u, R' U2 D R]
FDl-RFu-BRu-LBu-UFl.: [u, R' U' D R]
LDb-RFu-BRu-LBu-UBr.: [u, R' U D2 R]
LDb-RFu-BRu-LBu-ULb.: [u, R' U2 D2 R]
LDb-RFu-BRu-LBu-UFl.: [u, R' U' D2 R]
FLu-RFu-BRu-LFd-URf.: [u, F2 R' F2 R]
BLd-BRu-LBu-FLu-RDf.: [u, B2 R' B2 R]
BDr-RFu-BRu-LBu-UBr.: [u, R' U D' R]
BDr-RFu-BRu-LBu-ULb.: [u, R' U2 D' R]
BDr-RFu-BRu-LBu-UFl.: [u, R' U' D' R]
LDb-FLu-RFu-BRu-URf.: [u, F' U D F]
LDb-FLu-RFu-BRu-UBr.: [u, F' U2 D F]
LDb-FLu-RFu-BRu-ULb.: [u, F' U' D F]
LBu-FLu-RFu-BLd-UFl.: [u, L2 F' L2 F]
RBd-RFu-BRu-LBu-FDl.: [u, R2 F' R2 F]
BDr-FLu-RFu-BRu-URf.: [u, F' U D2 F]
BDr-FLu-RFu-BRu-UBr.: [u, F' U2 D2 F]
BDr-FLu-RFu-BRu-ULb.: [u, F' U' D2 F]
RDf-FLu-RFu-BRu-URf.: [u, F' U D' F]
RDf-FLu-RFu-BRu-UBr.: [u, F' U2 D' F]
