UL-DR-RF-RB-UR.*: [R2, S R S']
UR-DR-RF-LF-RB.*: [R2, E L' S']
UL-DR-RB-RF-UR.*: [R2, S R' S']
UL-DR-BD-FD-DL.*: [D2, S' U M]
UB-DF-RD-LD-DB.*: [D2, M' D M]
UR-DL-BD-FD-DR.*: [D2, S U' M]
UB-DF-LD-RD-DB.*: [D2, M' D' M]
UF-DB-LD-RD-DF.*: [D2, M U S]
UL-DR-BD-FD-DL.*: [D2, S' D S]
UB-DF-LD-RD-DB.*: [D2, M' U' S]
UL-DR-FD-BD-DL.*: [D2, S' D' S]
UR-DL-FD-BD-DR.*: [D2, S U M']
UF-DB-LD-RD-DF.*: [D2, M D M']
UL-DR-FD-BD-DL.*: [D2, S' U' M']
UF-DB-RD-LD-DF.*: [D2, M D' M']
UB-DF-RD-LD-DB.*: [D2, M' U S']
UR-DL-FD-BD-DR.*: [D2, S D S']
UF-DB-RD-LD-DF.*: [D2, M U' S']
UR-DL-BD-FD-DR.*: [D2, S D' S']
UF-FR-FL-DF-DB.*: [F2, M' F M]
UF-FL-BL-FR-DF.*: [F2, E B M]
UF-FL-FR-DF-DB.*: [F2, M' F' M]
UF-FR-BR-FL-DF.*: [F2, E' B' M]
UF-DF-FR-BR-FL.*: [F2, E' F E]
UF-FR-FL-DF-DB.*: [F2, M' B E]
UF-FR-BR-FL-DF.*: [F2, E' F' E]
UF-UB-DF-FR-FL.*: [F2, M B' E]
UF-UB-DF-FL-FR.*: [F2, M F M']
UF-DF-FR-BR-FL.*: [F2, E' B M']
UF-UB-DF-FR-FL.*: [F2, M F' M']
UF-DF-FL-BL-FR.*: [F2, E B' M']
UF-FL-BL-FR-DF.*: [F2, E F E']
UF-UB-DF-FL-FR.*: [F2, M B E']
UF-DF-FL-BL-FR.*: [F2, E F' E']
UF-FL-FR-DF-DB.*: [F2, M' B' E']
UB-DB-BL-FL-BR.*: [B2, E' F M]
UF-DB-BR-BL-UB.*: [B2, M' B M]
UB-DB-BR-FR-BL.*: [B2, E F' M]
UF-DB-BL-BR-UB.*: [B2, M' B' M]
UB-BL-BR-DB-DF.*: [B2, M F E]
UB-DB-BL-FL-BR.*: [B2, E' B E]
UF-DB-BL-BR-UB.*: [B2, M' F' E]
UB-BL-FL-BR-DB.*: [B2, E' B' E]
UB-BR-FR-BL-DB.*: [B2, E F M']
UB-BL-BR-DB-DF.*: [B2, M B M']
UB-BL-FL-BR-DB.*: [B2, E' F' M']
UB-BR-BL-DB-DF.*: [B2, M B' M']
UF-DB-BR-BL-UB.*: [B2, M' F E']
UB-BR-FR-BL-DB.*: [B2, E B E']
UB-BR-BL-DB-DF.*: [B2, M F' E']
UB-DB-BR-FR-BL.*: [B2, E B' E']
UF-DB-DF-BL-UB.*: [M2, U L U]
UF-UB-DF-DB-FR.*: [M2, U R U]
UF-DB-DF-DL-UB.*: [M2, U L2 U]
UF-UB-DF-DB-DR.*: [M2, U R2 U]
UF-UR-DB-DF-UB.*: [M2, U F2 U]
UF-UB-UL-DF-DB.*: [M2, U B2 U]
UF-DB-DF-FL-UB.*: [M2, U L' U]
UF-UB-DF-DB-BR.*: [M2, U R' U]
UF-UB-FL-DF-DB.*: [M2, D L D]
UF-BR-DB-DF-UB.*: [M2, D R D]
UF-UB-UL-DF-DB.*: [M2, D L2 D]
UF-UR-DB-DF-UB.*: [M2, D R2 D]
UF-DB-DF-DL-UB.*: [M2, D F2 D]
UF-UB-DF-DB-DR.*: [M2, D B2 D]
UF-UB-BL-DF-DB.*: [M2, D L' D]
UF-FR-DB-DF-UB.*: [M2, D R' D]
UF-DF-UB-DB-LU.*: [M2, F L F]
UF-DB-UB-RD-DF.*: [M2, F R F]
UF-DF-UB-DB-LB.*: [M2, F L2 F]
