Lub-Dbr-Dlb-Ldf-Lfu.: [L, f l2 r2 f']
Lub-Dbr-Fld-Ldf-Lfu.: [L, f l' r2 f']
Rdb-Ufr-Lbd-Ldf-Lfu.: [L, d2 f d2 f']
Lub-Bur-Blu-Ldf-Lfu.: [L, f l r' f']
Lub-Bur-Dlb-Ldf-Lfu.: [L, f l2 r' f']
Lub-Bur-Fld-Ldf-Lfu.: [L, f l' r' f']
Lbd-Ldf-Bur-Fld-Lub.: [L, b l r b']
Lub-Lbd-Ldf-Bur-Ulf.: [L, b l2 r b']
Lbd-Ldf-Bur-Blu-Lub.: [L, b l' r b']
Lub-Lbd-Ruf-Dbr-Lfu.: [L, u2 b u2 b']
Lbd-Ldf-Ufr-Fld-Lub.: [L, b l r2 b']
Lub-Lbd-Ldf-Ufr-Ulf.: [L, b l2 r2 b']
Lbd-Ldf-Ufr-Blu-Lub.: [L, b l' r2 b']
Dlb-Rfd-Lbd-Ldf-Lfu.: [L, d2 b d2 b']
Lbd-Ldf-Fdr-Fld-Lub.: [L, b l r' b']
Lub-Lbd-Ldf-Fdr-Ulf.: [L, b l2 r' b']
Lbd-Ldf-Fdr-Blu-Lub.: [L, b l' r' b']
Rdb-Ubl-Ulf-Ufr-Lfu.: [U, l' u d l]
Ufr-Fru-Rdb-Ubl-Ulf.: [U, l' u2 d l]
Ufr-Rbu-Rdb-Ubl-Ulf.: [U, l' u' d l]
Fdr-Ubl-Ulf-Ufr-Lfu.: [U, l' u d2 l]
Ufr-Fru-Fdr-Ubl-Ulf.: [U, l' u2 d2 l]
Ufr-Rbu-Fdr-Ubl-Ulf.: [U, l' u' d2 l]
Ufr-Urb-Bdl-Drf-Ulf.: [U, f2 l' f2 l]
Dbr-Blu-Urb-Ubl-Ulf.: [U, b2 l' b2 l]
Ldf-Ubl-Ulf-Ufr-Lfu.: [U, l' u d' l]
Ufr-Fru-Ldf-Ubl-Ulf.: [U, l' u2 d' l]
Ufr-Rbu-Ldf-Ubl-Ulf.: [U, l' u' d' l]
Rbu-Ldf-Ufr-Urb-Ubl.: [U, r' u d r]
Ldf-Ufr-Urb-Ubl-Blu.: [U, r' u2 d r]
Ldf-Ufr-Urb-Ubl-Lfu.: [U, r' u' d r]
Rbu-Bdl-Ufr-Urb-Ubl.: [U, r' u d2 r]
